kode,nama,country_code,province_code
11.01,Kabupaten Aceh Selatan,ID,11
11.02,Kabupaten Aceh Tenggara,ID,11
11.03,Kabupaten Aceh Timur,ID,11
11.04,Kabupaten Aceh Tengah,ID,11
11.05,Kabupaten Aceh Barat,ID,11
11.06,Kabupaten Aceh Besar,ID,11
11.07,Kabupaten Pidie,ID,11
11.08,Kabupaten Aceh Utara,ID,11
11.09,Kabupaten Simeulue,ID,11
11.11,Kabupaten Bireuen,ID,11
11.12,Kabupaten Aceh Barat Daya,ID,11
11.13,Kabupaten Gayo Lues,ID,11
11.14,Kabupaten Aceh Jaya,ID,11
11.15,Kabupaten Nagan Raya,ID,11
11.16,Kabupaten Aceh Tamiang,ID,11
11.17,Kabupaten Bener Meriah,ID,11
11.18,Kabupaten Pidie Jaya,ID,11
11.71,Kota Banda Aceh,ID,11
11.72,Kota Sabang,ID,11
11.73,Kota Lhokseumawe,ID,11
11.74,Kota Langsa,ID,11
11.75,Kota Subulussalam,ID,11
12.01,Kabupaten Tapanuli Tengah,ID,12
12.02,Kabupaten Tapanuli Utara,ID,12
12.03,Kabupaten Tapanuli Selatan,ID,12
12.04,Kabupaten Nias,ID,12
12.05,Kabupaten Langkat,ID,12
12.06,Kabupaten Karo,ID,12
12.07,Kabupaten Deli Serdang,ID,12
12.08,Kabupaten Simalungun,ID,12
12.09,Kabupaten Asahan,ID,12
12.11,Kabupaten Dairi,ID,12
12.12,Kabupaten Toba,ID,12
12.13,Kabupaten Mandailing Natal,ID,12
12.14,Kabupaten Nias Selatan,ID,12
12.15,Kabupaten Pakpak Bharat,ID,12
12.16,Kabupaten Humbang Hasundutan,ID,12
12.17,Kabupaten Samosir,ID,12
12.18,Kabupaten Serdang Bedagai,ID,12
12.19,Kabupaten Batu Bara,ID,12
12.21,Kabupaten Padang Lawas,ID,12
12.22,Kabupaten Labuhanbatu Selatan,ID,12
12.23,Kabupaten Labuhanbatu Utara,ID,12
12.24,Kabupaten Nias Utara,ID,12
12.25,Kabupaten Nias Barat,ID,12
12.71,Kota Medan,ID,12
12.72,Kota Pematangsiantar,ID,12
12.73,Kota Sibolga,ID,12
12.74,Kota Tanjungbalai,ID,12
12.75,Kota Binjai,ID,12
12.76,Kota Tebing Tinggi,ID,12
12.77,Kota Padangsidimpuan,ID,12
12.78,Kota Gunungsitoli,ID,12
13.01,Kabupaten Pesisir Selatan,ID,13
13.02,Kabupaten Solok,ID,13
13.03,Kabupaten Sijunjung,ID,13
13.04,Kabupaten Tanah Datar,ID,13
13.05,Kabupaten Padang Pariaman,ID,13
13.06,Kabupaten Agam,ID,13
13.07,Kabupaten Lima Puluh Kota,ID,13
13.08,Kabupaten Pasaman,ID,13
13.09,Kabupaten Kepulauan Mentawai,ID,13
13.11,Kabupaten Solok Selatan,ID,13
13.12,Kabupaten Pasaman Barat,ID,13
13.71,Kota Padang,ID,13
13.72,Kota Solok,ID,13
13.73,Kota Sawahlunto,ID,13
13.74,Kota Padang Panjang,ID,13
13.75,Kota Bukittinggi,ID,13
13.76,Kota Payakumbuh,ID,13
13.77,Kota Pariaman,ID,13
14.01,Kabupaten Kampar,ID,14
14.02,Kabupaten Indragiri Hulu,ID,14
14.03,Kabupaten Bengkalis,ID,14
14.04,Kabupaten Indragiri Hilir,ID,14
14.05,Kabupaten Pelalawan,ID,14
14.06,Kabupaten Rokan Hulu,ID,14
14.07,Kabupaten Rokan Hilir,ID,14
14.08,Kabupaten Siak,ID,14
14.09,Kabupaten Kuantan Singingi,ID,14
14.71,Kota Pekanbaru,ID,14
14.72,Kota Dumai,ID,14
15.01,Kabupaten Kerinci,ID,15
15.02,Kabupaten Merangin,ID,15
